,EventAggregation,EventAggregation,EventAggregation,EventAggregation,EventAggregation
,,analytic,pointwise conf. band,pointwise conf. band,pointwise conf. band
,ATT,std_error,lower,upper,zero_not_in_cband
relative_period,,,,,
-9,0.004536357564264293,0.014205525893307432,-0.023305961568069453,0.03237867669659804,
-8,-0.0009893372843662492,0.010194422158180335,-0.020970037557596796,0.018991362988864297,
-7,0.01770700304917953,0.00798506959809284,0.002056554222871841,0.03335745187548722,*
-6,-0.009731056258269682,0.00667722963276797,-0.022818185854998514,0.0033560733384591507,
-5,-0.015486103813689027,0.008898555926197604,-0.0329269529434518,0.001954745316073741,
-4,-0.0018550153950289705,0.006170896631522368,-0.01394975054513235,0.010239719755074407,
-3,0.006341023037264366,0.005496548256360408,-0.004432013584488465,0.017114059659017196,
-2,-0.0004294013341209927,0.006578029298541595,-0.013322101848511793,0.012463299180269808,
-1,-0.0004985444673244412,0.003782059065226595,-0.00791124402257179,0.006914155087922908,
0,-0.003161880838976106,0.002415566261567286,-0.007896303713918047,0.0015725420359658342,
1,-0.0037488853344458104,0.003865670912311955,-0.011325461098661336,0.003827690429769715,
2,-0.0019385570209768015,0.005064738089463691,-0.011865261267453839,0.007988147225500234,
3,0.0030398097206175818,0.005637722895791147,-0.008009924109949927,0.014089543551185092,
4,0.0014171080703691277,0.005666864379769912,-0.009689742019252812,0.012523958159991067,
5,-0.007130092880216342,0.00669480347961272,-0.020251666583830708,0.005991480823398024,
6,4.443016480908091e-05,0.007878641703732548,-0.015397423821602004,0.015486284151220166,
7,-0.004725623887076377,0.00962939872337702,-0.02359889857767131,0.014147650803518558,
8,-0.009862709603917788,0.01073969693066095,-0.03091212879288861,0.011186709585053033,
9,-0.02005586411935234,0.01400954255167464,-0.047514062960516,0.0074023347218113225,
