outcome,label,event_time,coef,se,ci_lo,ci_hi
share_uninsured,Uninsured share,-4.0,0.016790520616148573,0.008998328916264028,-0.0008462040597289229,0.034427245292026065
share_uninsured,Uninsured share,-3.0,0.0024056103730999757,0.00652466430022932,-0.010382731655349493,0.015193952401549443
share_uninsured,Uninsured share,-2.0,0.002579531087122937,0.00476413799957566,-0.006758179392045356,0.01191724156629123
share_uninsured,Uninsured share,0.0,-0.0029684714477044316,0.0033931074145196445,-0.009618961980162934,0.0036820190847540713
share_uninsured,Uninsured share,1.0,-0.004084233900595312,0.004830479264542512,-0.013551973259098637,0.005383505457908011
share_uninsured,Uninsured share,2.0,-0.01051269524991749,0.006125274955088422,-0.022518234161890797,0.001492843662055817
share_uninsured,Uninsured share,3.0,-0.014766396732235242,0.007464251985730336,-0.0293963306242667,-0.00013646284020378367
share_uninsured,Uninsured share,4.0,-0.01205844275962889,0.008845556393506695,-0.02939573329090201,0.005278847771644231
share_medicaid,Medicaid share,-4.0,-0.022194596429898197,0.008148868341912424,-0.03816637838004655,-0.006222814479749848
share_medicaid,Medicaid share,-3.0,-0.010453755340851223,0.0070456109500600566,-0.024263152802968934,0.003355642121266489
share_medicaid,Medicaid share,-2.0,-0.0038462059310872512,0.004136005099027536,-0.011952775925181222,0.0042603640630067205
share_medicaid,Medicaid share,0.0,0.004946757298877212,0.002904131008816656,-0.0007453394784034343,0.010638854076157857
share_medicaid,Medicaid share,1.0,0.003473422863440684,0.004637822714183734,-0.005616709656359433,0.0125635553832408
share_medicaid,Medicaid share,2.0,0.008947858158560055,0.005901933227525907,-0.0026199309673907226,0.020515647284510833
share_medicaid,Medicaid share,3.0,0.01119359446671807,0.006590514429314912,-0.0017238138147391575,0.0241110027481753
share_medicaid,Medicaid share,4.0,0.01055577926773113,0.007046408669758176,-0.0032551817249948933,0.024366740260457154
log_n_total,log(Total patients),-4.0,0.026403434351317062,0.04434658004521082,-0.06051586253729614,0.11332273123993027
log_n_total,log(Total patients),-3.0,0.023842173562770366,0.026385439917606595,-0.02787328867573856,0.07555763580127929
log_n_total,log(Total patients),-2.0,-0.03548812852206538,0.022454211560546784,-0.07949838318073707,0.008522126136606321
log_n_total,log(Total patients),0.0,-0.011009027812347265,0.01573836600842888,-0.04185622518886787,0.019838169564173336
log_n_total,log(Total patients),1.0,-0.0255084513120851,0.027716606776270497,-0.07983300059357527,0.028816097969405072
log_n_total,log(Total patients),2.0,-0.006737778135666262,0.028902888064687174,-0.06338743874245312,0.0499118824711206
log_n_total,log(Total patients),3.0,0.0064900792435209536,0.0334692325133428,-0.05910961648263093,0.07208977496967284
log_n_total,log(Total patients),4.0,0.04443305159258351,0.041352725211308394,-0.03661828982158094,0.12548439300674796
htn_control_pct,Hypertension control (%),-4.0,0.0075026614661037805,0.009105689105093963,-0.010344489179880387,0.02534981211208795
htn_control_pct,Hypertension control (%),-3.0,-5.883311484913448e-05,0.007454176581617707,-0.014669019214819841,0.014551352985121571
htn_control_pct,Hypertension control (%),-2.0,0.00958023906688887,0.005775068171806211,-0.0017388945498513029,0.02089937268362904
htn_control_pct,Hypertension control (%),0.0,0.01289869218277455,0.005811735301324974,0.0015076909921776013,0.0242896933733715
htn_control_pct,Hypertension control (%),1.0,0.002842439964591287,0.007079776973899081,-0.01103392290425091,0.016718802833433483
htn_control_pct,Hypertension control (%),2.0,0.00442530324586601,0.007819763878577966,-0.010901433956146803,0.019752040447878823
htn_control_pct,Hypertension control (%),3.0,0.0042838227571178385,0.008666748892571909,-0.012703005072323104,0.021270650586558783
htn_control_pct,Hypertension control (%),4.0,0.008882400798029056,0.010005074027404729,-0.01072754429568421,0.02849234589174232
dm_poor_control_pct,Diabetes A1c>9% (%),-4.0,0.02284822175368642,0.010100775317719017,0.003050702130957147,0.04264574137641569
dm_poor_control_pct,Diabetes A1c>9% (%),-3.0,0.025654374898341582,0.011062271924587785,0.0039723219261495225,0.047336427870533646
dm_poor_control_pct,Diabetes A1c>9% (%),-2.0,0.015334004034730883,0.009019654766939132,-0.0023445193084698154,0.03301252737793158
dm_poor_control_pct,Diabetes A1c>9% (%),0.0,0.007609935663288859,0.0061729854617033,-0.00448911584164961,0.01970898716822733
dm_poor_control_pct,Diabetes A1c>9% (%),1.0,0.00411199351232105,0.007816569193063668,-0.01120848210608374,0.01943246913072584
dm_poor_control_pct,Diabetes A1c>9% (%),2.0,0.003949980986841561,0.008427541430831163,-0.012568000217587517,0.02046796219127064
dm_poor_control_pct,Diabetes A1c>9% (%),3.0,-0.004350328382012766,0.008836752657257887,-0.021670363590238224,0.012969706826212693
dm_poor_control_pct,Diabetes A1c>9% (%),4.0,-0.014673892707060486,0.009553296471587692,-0.03339835379137236,0.004050568377251389
